"DT","team","gpf"
2020-11-10,"ARZ",-0.3
2020-11-10,"ATL",-1.2
2020-11-10,"BAL",8.7
2020-11-10,"BUF",0.8
2020-11-10,"CAR",-1.9
2020-11-10,"CHI",-2.4
2020-11-10,"CIN",-1.5
2020-11-10,"CLE",0.4
2020-11-10,"DAL",-6.7
2020-11-10,"DEN",-3.4
2020-11-10,"DET",-2.8
2020-11-10,"GB",5.9
2020-11-10,"HOU",0.2
2020-11-10,"IND",2.7
2020-11-10,"JAC",-6.1
2020-11-10,"KC",7.2
2020-11-10,"LA",2.4
2020-11-10,"LAC",-1.4
2020-11-10,"MIA",-1.8
2020-11-10,"MIN",1.7
2020-11-10,"NE",-0.7
2020-11-10,"NO",5.8
2020-11-10,"NYG",-5.7
2020-11-10,"NYJ",-10.4
2020-11-10,"OAK",-0.2
2020-11-10,"PHI",-0.1
2020-11-10,"PIT",5.1
2020-11-10,"SEA",3.5
2020-11-10,"SF",-0.5
2020-11-10,"TB",5.7
2020-11-10,"TEN",2.1
2020-11-10,"WAS",-5
