Conference,AFC,AFC,AFC,AFC,AFC,AFC,AFC,NFC,NFC,NFC,NFC,NFC,NFC,NFC
Seed,1,2,3,4,5,6,7,1,2,3,4,5,6,7
0,Kansas City Chiefs,Pittsburgh Steelers,Tennessee Titans,Miami Dolphins,Baltimore Ravens,Las Vegas Raiders,Indianapolis Colts,Green Bay Packers,Seattle Seahawks,Tampa Bay Buccaneers,Philadelphia Eagles,Chicago Bears,Arizona Cardinals,San Francisco 49ers
1,Baltimore Ravens,Kansas City Chiefs,Buffalo Bills,Tennessee Titans,Pittsburgh Steelers,Cleveland Browns,Miami Dolphins,New Orleans Saints,Los Angeles Rams,Chicago Bears,Philadelphia Eagles,Green Bay Packers,Seattle Seahawks,Tampa Bay Buccaneers
2,Pittsburgh Steelers,Kansas City Chiefs,Indianapolis Colts,New England Patriots,Baltimore Ravens,Cleveland Browns,Tennessee Titans,New Orleans Saints,Seattle Seahawks,Green Bay Packers,Philadelphia Eagles,Tampa Bay Buccaneers,Los Angeles Rams,Arizona Cardinals
3,Buffalo Bills,Pittsburgh Steelers,Kansas City Chiefs,Indianapolis Colts,Baltimore Ravens,Las Vegas Raiders,Cleveland Browns,Tampa Bay Buccaneers,Green Bay Packers,Los Angeles Rams,Washington Football Team,New Orleans Saints,Seattle Seahawks,Minnesota Vikings
4,Las Vegas Raiders,Pittsburgh Steelers,Tennessee Titans,Miami Dolphins,Kansas City Chiefs,Baltimore Ravens,Cincinnati Bengals,Seattle Seahawks,Green Bay Packers,New Orleans Saints,Philadelphia Eagles,Los Angeles Rams,Tampa Bay Buccaneers,Arizona Cardinals
5,Pittsburgh Steelers,Las Vegas Raiders,Buffalo Bills,Indianapolis Colts,Kansas City Chiefs,Baltimore Ravens,Cleveland Browns,Tampa Bay Buccaneers,Seattle Seahawks,Green Bay Packers,Philadelphia Eagles,New Orleans Saints,Chicago Bears,San Francisco 49ers
6,Pittsburgh Steelers,Kansas City Chiefs,Buffalo Bills,Indianapolis Colts,Miami Dolphins,Baltimore Ravens,New England Patriots,Green Bay Packers,Seattle Seahawks,Tampa Bay Buccaneers,Philadelphia Eagles,Minnesota Vikings,New Orleans Saints,Arizona Cardinals
7,Pittsburgh Steelers,Kansas City Chiefs,Buffalo Bills,Indianapolis Colts,Baltimore Ravens,Tennessee Titans,Miami Dolphins,Los Angeles Rams,Green Bay Packers,New Orleans Saints,Dallas Cowboys,Arizona Cardinals,Tampa Bay Buccaneers,Seattle Seahawks
8,Pittsburgh Steelers,Kansas City Chiefs,Indianapolis Colts,Buffalo Bills,Baltimore Ravens,Las Vegas Raiders,Tennessee Titans,New Orleans Saints,Seattle Seahawks,Green Bay Packers,Philadelphia Eagles,Arizona Cardinals,Minnesota Vikings,Tampa Bay Buccaneers
9,Kansas City Chiefs,Pittsburgh Steelers,Tennessee Titans,Buffalo Bills,Baltimore Ravens,Las Vegas Raiders,Cleveland Browns,Green Bay Packers,New Orleans Saints,Seattle Seahawks,Philadelphia Eagles,Tampa Bay Buccaneers,Arizona Cardinals,San Francisco 49ers
10,Kansas City Chiefs,Buffalo Bills,Baltimore Ravens,Indianapolis Colts,Pittsburgh Steelers,Cleveland Browns,Las Vegas Raiders,New Orleans Saints,Seattle Seahawks,Green Bay Packers,Washington Football Team,Arizona Cardinals,Los Angeles Rams,Chicago Bears
11,Kansas City Chiefs,Buffalo Bills,Baltimore Ravens,Tennessee Titans,Pittsburgh Steelers,Las Vegas Raiders,Indianapolis Colts,New Orleans Saints,Arizona Cardinals,Green Bay Packers,Philadelphia Eagles,Tampa Bay Buccaneers,Los Angeles Rams,Seattle Seahawks
12,Baltimore Ravens,Kansas City Chiefs,Tennessee Titans,Buffalo Bills,Pittsburgh Steelers,Miami Dolphins,Cleveland Browns,New Orleans Saints,Green Bay Packers,Arizona Cardinals,Philadelphia Eagles,Los Angeles Rams,Tampa Bay Buccaneers,Chicago Bears
13,Kansas City Chiefs,Pittsburgh Steelers,Tennessee Titans,Buffalo Bills,Baltimore Ravens,Las Vegas Raiders,Denver Broncos,New Orleans Saints,Seattle Seahawks,Green Bay Packers,Philadelphia Eagles,Tampa Bay Buccaneers,Arizona Cardinals,Los Angeles Rams
14,Pittsburgh Steelers,Kansas City Chiefs,Tennessee Titans,Buffalo Bills,Las Vegas Raiders,Baltimore Ravens,Cleveland Browns,Seattle Seahawks,New Orleans Saints,Green Bay Packers,Philadelphia Eagles,Arizona Cardinals,Chicago Bears,Minnesota Vikings
15,Kansas City Chiefs,Pittsburgh Steelers,Buffalo Bills,Tennessee Titans,Baltimore Ravens,Indianapolis Colts,Las Vegas Raiders,Seattle Seahawks,Green Bay Packers,New Orleans Saints,Philadelphia Eagles,Tampa Bay Buccaneers,Los Angeles Rams,Chicago Bears
16,Baltimore Ravens,Kansas City Chiefs,Indianapolis Colts,Buffalo Bills,Pittsburgh Steelers,Cleveland Browns,Tennessee Titans,Seattle Seahawks,New Orleans Saints,Green Bay Packers,Philadelphia Eagles,Tampa Bay Buccaneers,Arizona Cardinals,Minnesota Vikings
17,Kansas City Chiefs,Baltimore Ravens,Buffalo Bills,Indianapolis Colts,Pittsburgh Steelers,Las Vegas Raiders,Cleveland Browns,Seattle Seahawks,New Orleans Saints,Chicago Bears,Philadelphia Eagles,Minnesota Vikings,Green Bay Packers,Arizona Cardinals
18,Kansas City Chiefs,Baltimore Ravens,Buffalo Bills,Tennessee Titans,Pittsburgh Steelers,Cleveland Browns,Las Vegas Raiders,Seattle Seahawks,New Orleans Saints,Green Bay Packers,Washington Football Team,Arizona Cardinals,Tampa Bay Buccaneers,Los Angeles Rams
19,Baltimore Ravens,Kansas City Chiefs,Buffalo Bills,Indianapolis Colts,Pittsburgh Steelers,Las Vegas Raiders,Cleveland Browns,Seattle Seahawks,New Orleans Saints,Green Bay Packers,Philadelphia Eagles,Tampa Bay Buccaneers,Chicago Bears,Los Angeles Rams
20,Pittsburgh Steelers,Kansas City Chiefs,Buffalo Bills,Indianapolis Colts,Baltimore Ravens,Las Vegas Raiders,Cleveland Browns,Green Bay Packers,New Orleans Saints,Seattle Seahawks,Philadelphia Eagles,Tampa Bay Buccaneers,Arizona Cardinals,San Francisco 49ers
21,Kansas City Chiefs,Pittsburgh Steelers,Buffalo Bills,Indianapolis Colts,Baltimore Ravens,Tennessee Titans,Las Vegas Raiders,Green Bay Packers,New Orleans Saints,Seattle Seahawks,Philadelphia Eagles,Tampa Bay Buccaneers,Minnesota Vikings,Carolina Panthers
22,Kansas City Chiefs,Pittsburgh Steelers,Buffalo Bills,Indianapolis Colts,Baltimore Ravens,Las Vegas Raiders,Cleveland Browns,Seattle Seahawks,New Orleans Saints,Green Bay Packers,Philadelphia Eagles,Los Angeles Rams,Chicago Bears,Tampa Bay Buccaneers
23,Kansas City Chiefs,Baltimore Ravens,Buffalo Bills,Indianapolis Colts,Pittsburgh Steelers,Tennessee Titans,Denver Broncos,Seattle Seahawks,Green Bay Packers,New Orleans Saints,Philadelphia Eagles,Minnesota Vikings,Tampa Bay Buccaneers,Carolina Panthers
24,Kansas City Chiefs,Buffalo Bills,Baltimore Ravens,Tennessee Titans,Pittsburgh Steelers,Las Vegas Raiders,Indianapolis Colts,New Orleans Saints,Green Bay Packers,Seattle Seahawks,Washington Football Team,Tampa Bay Buccaneers,Los Angeles Rams,Minnesota Vikings
25,Kansas City Chiefs,Pittsburgh Steelers,Buffalo Bills,Indianapolis Colts,Baltimore Ravens,Las Vegas Raiders,Cleveland Browns,New Orleans Saints,Seattle Seahawks,Green Bay Packers,Philadelphia Eagles,Tampa Bay Buccaneers,Chicago Bears,Arizona Cardinals
26,Baltimore Ravens,Kansas City Chiefs,Buffalo Bills,Indianapolis Colts,Pittsburgh Steelers,Las Vegas Raiders,Cleveland Browns,Green Bay Packers,New Orleans Saints,Seattle Seahawks,Philadelphia Eagles,Tampa Bay Buccaneers,Chicago Bears,Arizona Cardinals
27,Kansas City Chiefs,Baltimore Ravens,Buffalo Bills,Tennessee Titans,Pittsburgh Steelers,Las Vegas Raiders,Miami Dolphins,Green Bay Packers,New Orleans Saints,Los Angeles Rams,Philadelphia Eagles,Tampa Bay Buccaneers,San Francisco 49ers,Seattle Seahawks
28,Baltimore Ravens,Kansas City Chiefs,Buffalo Bills,Indianapolis Colts,Pittsburgh Steelers,Las Vegas Raiders,Cleveland Browns,Green Bay Packers,New Orleans Saints,Los Angeles Rams,Philadelphia Eagles,Tampa Bay Buccaneers,Seattle Seahawks,Chicago Bears
29,Pittsburgh Steelers,Kansas City Chiefs,Tennessee Titans,Buffalo Bills,Baltimore Ravens,Las Vegas Raiders,Indianapolis Colts,New Orleans Saints,Green Bay Packers,Seattle Seahawks,Philadelphia Eagles,Tampa Bay Buccaneers,Los Angeles Rams,Arizona Cardinals
30,Pittsburgh Steelers,Kansas City Chiefs,Buffalo Bills,Tennessee Titans,Cleveland Browns,Baltimore Ravens,Las Vegas Raiders,Green Bay Packers,Seattle Seahawks,New Orleans Saints,Philadelphia Eagles,Tampa Bay Buccaneers,Los Angeles Rams,Chicago Bears
31,Kansas City Chiefs,Baltimore Ravens,Buffalo Bills,Indianapolis Colts,Pittsburgh Steelers,Las Vegas Raiders,Tennessee Titans,Seattle Seahawks,New Orleans Saints,Green Bay Packers,Philadelphia Eagles,Los Angeles Rams,Tampa Bay Buccaneers,Chicago Bears
32,Pittsburgh Steelers,Kansas City Chiefs,Buffalo Bills,Tennessee Titans,Baltimore Ravens,Las Vegas Raiders,Cleveland Browns,Green Bay Packers,New Orleans Saints,Los Angeles Rams,Philadelphia Eagles,Tampa Bay Buccaneers,Seattle Seahawks,San Francisco 49ers
33,Pittsburgh Steelers,Kansas City Chiefs,Buffalo Bills,Tennessee Titans,Baltimore Ravens,Las Vegas Raiders,Cleveland Browns,Tampa Bay Buccaneers,Seattle Seahawks,Green Bay Packers,Philadelphia Eagles,New Orleans Saints,Arizona Cardinals,Los Angeles Rams
34,Pittsburgh Steelers,Kansas City Chiefs,Miami Dolphins,Indianapolis Colts,Baltimore Ravens,Cleveland Browns,Buffalo Bills,Green Bay Packers,New Orleans Saints,Seattle Seahawks,Washington Football Team,Tampa Bay Buccaneers,Arizona Cardinals,Los Angeles Rams
35,Kansas City Chiefs,Pittsburgh Steelers,Tennessee Titans,Miami Dolphins,Baltimore Ravens,Las Vegas Raiders,Buffalo Bills,Seattle Seahawks,Green Bay Packers,New Orleans Saints,Philadelphia Eagles,Tampa Bay Buccaneers,Arizona Cardinals,Los Angeles Rams
36,Pittsburgh Steelers,Kansas City Chiefs,Buffalo Bills,Indianapolis Colts,Baltimore Ravens,Cleveland Browns,New England Patriots,Seattle Seahawks,Green Bay Packers,Philadelphia Eagles,New Orleans Saints,Los Angeles Rams,Minnesota Vikings,Tampa Bay Buccaneers
37,Kansas City Chiefs,Baltimore Ravens,Buffalo Bills,Indianapolis Colts,Pittsburgh Steelers,Miami Dolphins,Cleveland Browns,Green Bay Packers,New Orleans Saints,Seattle Seahawks,Philadelphia Eagles,Tampa Bay Buccaneers,Minnesota Vikings,Chicago Bears
38,Baltimore Ravens,Kansas City Chiefs,Miami Dolphins,Tennessee Titans,Pittsburgh Steelers,Buffalo Bills,Las Vegas Raiders,Green Bay Packers,Seattle Seahawks,Tampa Bay Buccaneers,New York Giants,Los Angeles Rams,Minnesota Vikings,Arizona Cardinals
39,Pittsburgh Steelers,Kansas City Chiefs,Buffalo Bills,Tennessee Titans,Baltimore Ravens,Cleveland Browns,Indianapolis Colts,Seattle Seahawks,Tampa Bay Buccaneers,Green Bay Packers,Philadelphia Eagles,New Orleans Saints,Los Angeles Rams,Arizona Cardinals
